SMILES,sars,mers
COC(=O)c1cc(F)ccc1OC,-4.732,-5.656
COc1ccc(N)cc1CN.Cl,-4.677,-5.223
c1ccc(NCc2ccc(OCCN3CCCC3)cc2)cc1,,-6.895
O=C([O-])CCN1CCCC1.[K+],-0.971,-1.01
NC(=O)N1CCc2cc(N)ccc21,-5.182,-5.955
Nc1cc(-n2cnnn2)ccc1Cl,-5.571,-5.5
CC(C)(C)C(=O)Nc1ccc(N)cc1,-5.012,-5.347
COc1cc(C2C3=C(CCCC3=O)Nc3c2c(=O)n(C)c(=O)n3C)ccc1OC(F)F,-7.555,-8.031
CC(O)CC1CCOC1,-4.109,-4.434
O=C(O)c1ccc(-n2ccnc2)cc1,-5.192,-5.584
FC(F)n1c(=S)n(CN2CCN(Cc3cccnc3)CC2)c2ccccc21,-6.869,-7.862
CN1CCN(C2CCCC2O)CC1,-4.58,-5.112
O=c1cc(-c2ccccc2)nc[nH]1,-5.624,-5.796
Nc1cc(-c2cc(F)cc(F)c2)no1,-5.617,
CN1CCCC(N(C)C(=O)c2conc2C2CC2)C1,-5.959,-6.357
N#CCc1c[nH]c2ncccc12,-5.769,-6.111
CNc1snc(C)c1C(=O)NC(C)c1cc(F)ccc1F,-6.456,-6.595
COc1ccc(-c2csc(C3=C(N)N(c4cccc(Cl)c4)CC3=O)n2)cc1OC,-7.175,-7.74
Cc1nc(C2CCCCN2C(=O)c2c(C)ccn2C)n[nH]1,-6.201,-7.091
Cc1ncsc1C(=O)OCCn1cc(Br)ccc1=O,-6.231,-6.292
N#CCN(C(=O)c1cc(F)ccc1Br)C1CC1,-5.494,-5.885
O=C(Cc1cccc(O)c1)OCC(=O)N1CCCCCCC1,-6.527,-6.697
Cc1n[nH]cc1CNC(=O)CCl,-4.701,-5.235
O=Cc1cscn1,-4.082,-3.727
C1CNC(C2CC2)CSC1.Cl,-4.062,-4.831
CC(C)(O)CN1CCCC1CO,-4.532,-4.915
Nc1c(I)cc(I)cc1I,-3.764,-4.243
COC(=O)CC1CCS(=O)(=O)C1,-4.87,-4.962
N#Cc1c(CSc2nnc3c(Cl)cc(Cl)cn23)cn2ccccc12,-7.703,-7.974
C#CCNC(=O)C(C)ONC(N)=O,-5.073,-5.9
CN(C)c1ccc(C(=O)NCCc2ccccc2F)cn1,-6.243,-6.95
CC(=O)Nc1ccc(NS(=O)(=O)c2c(F)cccc2F)cc1Cl,-7.332,-7.647
C#CCNC(=O)C=Cc1cccnc1,-5.331,-5.752
O=C(O)CON=Cc1ccccc1,-4.875,-5.803
Cc1ccc(C)c(-n2ccnc2S)c1,-4.604,-5.386
O=c1cc[nH]c(C2CCOCC2)n1,-5.146,-5.513
O=C(NC1CCN(c2ccc(F)c(Cl)c2)C1)c1conc1C1CC1,-7.363,-7.866
Cl.NCC(O)CC1CCCCC1,-4.988,-5.268
Cc1cn2c(n1)CCC(NC(=O)c1cnc3ccccc3n1)C2,-7.308,-7.334
CNc1cc(C)c([N+](=O)[O-])cn1,-4.875,-5.06
O=C(NCCO)c1cccc(O)c1,-5.332,-6.031
O=C(O)c1ccc2nccn2c1,-5.112,-5.658
Cl.N[C@H]1CC[C@](O)(C(F)(F)F)CC1,-4.778,-5.299
O=C([O-])Cc1nc(C(F)(F)F)cs1.[Na+],-0.971,-1.009
CNC(=O)c1cccc2c1OCO2,-4.908,-6.077
CSc1cc(F)ccc1C#N,-4.64,-5.486
NC(C(=O)O)c1ccc(Cl)cc1Cl,-5.464,-5.299
O=C(O)CCCc1ccccc1Br,-5.156,-5.73
Cl.O=C(O)CCc1ncc[nH]1,-5.107,-5.383
CCN1CCC(N)CC1,-3.967,-4.384
CC(N)C(C)c1ccccc1Cl.Cl,-4.657,-5.839
COCCC1(CN)CCCC1,-4.464,-4.719
CC(N)c1nccc(N)n1.Cl.Cl,-4.821,-5.527
Cc1nn(CC(C)C)c(Cl)c1C(=O)N1CC(C)OC(C)C1,-5.876,-6.572
CNC(=O)C1CCN(CCF)CC1,-4.394,-5.371
O=C(O)CCCNC(=O)c1cccs1,-5.326,-5.722
Cc1cc(C)c(CNC(=O)c2csc(Br)c2)c(=O)[nH]1,-6.689,-6.39
C=CC(=O)N1CCCCC1,-4.169,-4.77
CCC(C(=O)OCC(=O)c1ccc(Cl)s1)c1ccccc1,-6.009,-6.849
O=C(OCc1ccccc1)c1ccc(S(=O)(=O)N2CCCC2)cc1,-7.207,-7.497
CC1(C)C2CCC1(CS(=O)(=O)Nc1nc3c(ccc4ccccc43)s1)C(=O)C2,-7.472,-8.103
Nc1cc(CCO)ccn1,-4.603,-4.839
CCNCCc1nccs1,-3.939,-4.071
N=c1nc(N)[nH]cc1N,-4.405,-4.515
c1csc(CCNC2=NN=C(c3ccc4c(c3)CCC4)CS2)c1,-6.848,-7.301
CC(N)(C(N)=O)c1ccccc1.Cl,-5.415,-6.211
CCCCNC1=NCCCS1,-4.071,-4.523
C=CCCCSc1nnc(N)s1,-4.639,-4.627
COC(=O)C1(N)CCCCC1.Cl,-5.23,-5.92
c1ccn(CC2CCNCC2)c1,-4.694,-4.855
CCC(C#N)NC(=O)OC(C)(C)C,-4.729,-4.712
Cc1noc(C)c1COC(=O)c1cc(=O)[nH]c2ccccc12,-7.185,-7.47
CCCc1ccc(N)c(C#N)c1,-4.752,-5.338
Cc1ccc(O)c(CO)n1,-4.984,-4.826
CSc1nnc(CN(C)CCO)s1,-4.707,-4.897
O=[N+]([O-])c1ccc2nc(Br)sc2c1,-5.102,-5.576
CC(=O)N(C)C1CCN(C)CC1,-4.471,-4.565
CC(C(=O)O)N1CCCCC1.Cl,-5.19,-5.272
O=C(O)CNS(=O)(=O)c1ccccc1,-5.356,-6.095
N#CCN1C(=O)c2ccccc2C1=O,-5.377,-6.077
Cc1nn(-c2ccccc2)c2sc(C(=O)OCc3nc4ccccc4s3)cc12,-8.208,-8.2
CCS(=O)(=O)NC1CCCCCC1,-4.862,-4.961
COC(=O)c1csc(C)c1N,-4.562,-4.946
Cn1c(S)nnc1CNC(=O)C1(c2ccc(Cl)c(Cl)c2)CCC1,-6.268,-7.144
Cc1cn2c(nc3c2c(=O)n(Cc2ccccc2)c(=O)n3C)[nH]1,-7.084,-7.589
O=C1NCc2cccc(Cl)c21,-5.059,-5.865
O=C(CCc1ccc(Cl)s1)Nc1nnn[nH]1,-6.046,-6.462
CC(C)(C)CC(N)c1ccccc1,-4.451,-5.857
O=C(OCCCc1cccnc1)c1csc(-c2cccc(Cl)c2)n1,-6.993,-7.147
Cc1nc(C2CCNCC2)cs1.Cl.Cl,-5.687,-6.086
Cc1nn(C)c2ncc(C#N)cc12,-5.143,-5.705
O=C1NC(=S)SC1=Cc1ccco1,-5.294,-5.137
OCc1cc2ncccc2[nH]1,-5.095,-5.232
CCCc1cccc(CN2CCC(c3ccnn3CCO)CC2)c1,-7.085,-7.033
O=C(CCc1nc(-c2ccccn2)no1)N1CCCC(C(F)(F)F)C1,-7.453,-8.09
Nc1ccc(-c2n[nH]c(=O)[nH]2)cc1,-5.323,-5.975
Cc1cc(C2CC2)[nH]c(=O)c1C#N,-5.454,-5.714
CN(C(=O)COC(=O)c1cc(F)c(F)cc1Cl)C1CCS(=O)(=O)C1,-6.927,-7.547
CCSC1CCC1(O)CN,-4.127,-4.267
CNC1CCc2ccc(C)cc21.Cl,-4.886,-5.903
CC(C(=O)N1CCN(C)C(c2nccn2C)C1)c1cccs1,-6.275,-6.93
CCN(C(=O)CCl)c1ccc(Br)cc1,-4.503,
Cc1cc2ncc([N+](=O)[O-])cn2n1,-5.439,-5.394
CC(C)(C(=O)O)C1CCC(O)CC1,-5.118,-5.44
CC(C)[C@H](NC(=O)C1CCCCC1)c1nc2ccccc2[nH]1,-6.717,-7.056
CCc1ccc(O)c(C(=O)O)c1,-5.411,-5.431
CCc1nccn1CCCC(=O)O.O=C(O)C(F)(F)F,-6.631,-7.629
CCCCN1CC2=C(C1=O)C(c1ccc(Br)cc1)NC(=O)N2,-6.708,-7.115
CCc1ncc[nH]1,-3.64,-3.857
Cl.Cl.NCCC(CCN)C(=O)O,-5.56,-5.458
O=C(Nn1cnc2scc(-c3ccccc3)c2c1=O)c1ccc(Cl)cc1F,-7.79,-7.335
Cl.FC1CNC(c2ccccc2)C1,-5.4,-5.933
COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccc(Cn2cccn2)cc1,-6.454,-6.852
CC1(C(=O)O)CCCCO1,-5.103,-4.666
CCc1cccc(NC(C)=O)c1,-4.785,-5.222
C#CCNC(=O)c1ccnc(SCC)c1,-5.065,-5.511
